image_path,label,generator,split
Nature\n01855672_12835.JPEG,0,Nature,train
Nature\ILSVRC2012_val_00023099.JPEG,0,Nature,train
ADM\253_adm_85.jpg,1,ADM,train
BigGAN\222_biggan_00115.jpg,1,BigGAN,train
ADM\673_adm_32.jpg,1,ADM,train
stable_diffusion_v_1_5\491_sdv5_00172.jpg,1,stable_diffusion_v_1_5,train
ADM\471_adm_86.jpg,1,ADM,train
Nature\n01924916_8759.JPEG,0,Nature,train
stable_diffusion_v_1_5\980_sdv5_00083.jpg,1,stable_diffusion_v_1_5,train
ADM\286_adm_123.jpg,1,ADM,train
Nature\n01978455_10079.JPEG,0,Nature,train
stable_diffusion_v_1_5\124_sdv5_00195.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\992_sdv5_00095.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\547_sdv5_00046.jpg,1,stable_diffusion_v_1_5,train
BigGAN\847_biggan_00034.jpg,1,BigGAN,train
Nature\n01773797_2546.JPEG,0,Nature,train
BigGAN\006_biggan_00182.jpg,1,BigGAN,train
ADM\627_adm_138.jpg,1,ADM,train
BigGAN\385_biggan_00097.jpg,1,BigGAN,train
BigGAN\121_biggan_00012.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00034593.JPEG,0,Nature,train
stable_diffusion_v_1_5\905_sdv5_00027.jpg,1,stable_diffusion_v_1_5,train
BigGAN\226_biggan_00118.jpg,1,BigGAN,train
stable_diffusion_v_1_5\587_sdv5_00013.jpg,1,stable_diffusion_v_1_5,train
Nature\n01806143_9340.JPEG,0,Nature,train
ADM\263_adm_80.jpg,1,ADM,train
ADM\632_adm_174.jpg,1,ADM,train
ADM\282_adm_174.jpg,1,ADM,train
stable_diffusion_v_1_5\399_sdv5_00195.jpg,1,stable_diffusion_v_1_5,train
ADM\215_adm_159.jpg,1,ADM,train
stable_diffusion_v_1_5\429_sdv5_00117.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\041_sdv5_00136.jpg,1,stable_diffusion_v_1_5,train
BigGAN\049_biggan_00074.jpg,1,BigGAN,train
Nature\n01819313_5651.JPEG,0,Nature,train
Nature\n01944390_11870.JPEG,0,Nature,train
stable_diffusion_v_1_5\155_sdv5_00027.jpg,1,stable_diffusion_v_1_5,train
ADM\915_adm_6.jpg,1,ADM,train
BigGAN\393_biggan_00012.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00035528.JPEG,0,Nature,train
ADM\691_adm_143.jpg,1,ADM,train
Nature\ILSVRC2012_val_00045520.JPEG,0,Nature,train
BigGAN\278_biggan_00119.jpg,1,BigGAN,train
stable_diffusion_v_1_5\028_sdv5_00066.jpg,1,stable_diffusion_v_1_5,train
Nature\ILSVRC2012_val_00047115.JPEG,0,Nature,train
ADM\198_adm_59.jpg,1,ADM,train
Nature\n01770393_703.JPEG,0,Nature,train
Nature\n01985128_19222.JPEG,0,Nature,train
Nature\n01514859_12347.JPEG,0,Nature,train
ADM\940_adm_124.jpg,1,ADM,train
Nature\n01855672_14115.JPEG,0,Nature,train
stable_diffusion_v_1_5\335_sdv5_00102.jpg,1,stable_diffusion_v_1_5,train
Nature\n02027492_8376.JPEG,0,Nature,train
Nature\n01773549_3036.JPEG,0,Nature,train
BigGAN\989_biggan_00039.jpg,1,BigGAN,train
ADM\330_adm_177.jpg,1,ADM,train
stable_diffusion_v_1_5\393_sdv5_00085.jpg,1,stable_diffusion_v_1_5,train
BigGAN\147_biggan_00196.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00029329.JPEG,0,Nature,train
ADM\257_adm_14.jpg,1,ADM,train
stable_diffusion_v_1_5\387_sdv5_00066.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\972_sdv5_00046.jpg,1,stable_diffusion_v_1_5,train
Nature\n02002556_5601.JPEG,0,Nature,train
Nature\n02027492_178.JPEG,0,Nature,train
Nature\n01773797_5961.JPEG,0,Nature,train
BigGAN\792_biggan_00129.jpg,1,BigGAN,train
stable_diffusion_v_1_5\623_sdv5_00124.jpg,1,stable_diffusion_v_1_5,train
BigGAN\588_biggan_00187.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00030672.JPEG,0,Nature,train
Nature\n01739381_2744.JPEG,0,Nature,train
stable_diffusion_v_1_5\980_sdv5_00011.jpg,1,stable_diffusion_v_1_5,train
Nature\n02672831_26411.JPEG,0,Nature,train
BigGAN\426_biggan_00061.jpg,1,BigGAN,train
Nature\n01774750_11857.JPEG,0,Nature,train
ADM\844_adm_105.jpg,1,ADM,train
BigGAN\109_biggan_00166.jpg,1,BigGAN,train
ADM\504_adm_53.jpg,1,ADM,train
stable_diffusion_v_1_5\384_sdv5_00143.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\976_sdv5_00149.jpg,1,stable_diffusion_v_1_5,train
BigGAN\098_biggan_00155.jpg,1,BigGAN,train
Nature\n01773797_759.JPEG,0,Nature,train
Nature\n01950731_13490.JPEG,0,Nature,train
BigGAN\616_biggan_00127.jpg,1,BigGAN,train
ADM\706_adm_7.jpg,1,ADM,train
Nature\n01735189_1707.JPEG,0,Nature,train
BigGAN\293_biggan_00066.jpg,1,BigGAN,train
BigGAN\931_biggan_00131.jpg,1,BigGAN,train
ADM\74_adm_175.jpg,1,ADM,train
ADM\534_adm_109.jpg,1,ADM,train
Nature\n01910747_3544.JPEG,0,Nature,train
BigGAN\954_biggan_00064.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00004029.JPEG,0,Nature,train
BigGAN\315_biggan_00044.jpg,1,BigGAN,train
ADM\456_adm_13.jpg,1,ADM,train
Nature\n01820546_75.JPEG,0,Nature,train
Nature\n01776313_12049.JPEG,0,Nature,train
BigGAN\566_biggan_00115.jpg,1,BigGAN,train
Nature\n01774750_11962.JPEG,0,Nature,train
BigGAN\521_biggan_00076.jpg,1,BigGAN,train
Nature\n01622779_6490.JPEG,0,Nature,train
stable_diffusion_v_1_5\848_sdv5_00100.jpg,1,stable_diffusion_v_1_5,train
BigGAN\118_biggan_00143.jpg,1,BigGAN,train
BigGAN\662_biggan_00047.jpg,1,BigGAN,train
stable_diffusion_v_1_5\495_sdv5_00119.jpg,1,stable_diffusion_v_1_5,train
Nature\n01773797_2557.JPEG,0,Nature,train
ADM\217_adm_95.jpg,1,ADM,train
BigGAN\732_biggan_00034.jpg,1,BigGAN,train
Nature\n01601694_4035.JPEG,0,Nature,train
Nature\n01582220_10042.JPEG,0,Nature,train
BigGAN\938_biggan_00073.jpg,1,BigGAN,train
stable_diffusion_v_1_5\445_sdv5_00135.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\155_sdv5_00087.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\369_sdv5_00053.jpg,1,stable_diffusion_v_1_5,train
Nature\n01774384_2434.JPEG,0,Nature,train
Nature\n02027492_765.JPEG,0,Nature,train
Nature\n01798484_9592.JPEG,0,Nature,train
ADM\901_adm_20.jpg,1,ADM,train
stable_diffusion_v_1_5\747_sdv5_00028.jpg,1,stable_diffusion_v_1_5,train
Nature\n02011460_5426.JPEG,0,Nature,train
BigGAN\379_biggan_00020.jpg,1,BigGAN,train
Nature\n01860187_1114.JPEG,0,Nature,train
stable_diffusion_v_1_5\136_sdv5_00048.jpg,1,stable_diffusion_v_1_5,train
ADM\902_adm_133.jpg,1,ADM,train
BigGAN\982_biggan_00121.jpg,1,BigGAN,train
BigGAN\711_biggan_00165.jpg,1,BigGAN,train
BigGAN\424_biggan_00105.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00040404.JPEG,0,Nature,train
Nature\n02099601_13392.JPEG,0,Nature,train
Nature\n02012849_12760.JPEG,0,Nature,train
stable_diffusion_v_1_5\626_sdv5_00018.jpg,1,stable_diffusion_v_1_5,train
BigGAN\086_biggan_00086.jpg,1,BigGAN,train
Nature\n01855672_10766.JPEG,0,Nature,train
ADM\643_adm_122.jpg,1,ADM,train
stable_diffusion_v_1_5\718_sdv5_00008.jpg,1,stable_diffusion_v_1_5,train
ADM\778_adm_34.jpg,1,ADM,train
ADM\271_adm_153.jpg,1,ADM,train
stable_diffusion_v_1_5\811_sdv5_00186.jpg,1,stable_diffusion_v_1_5,train
Nature\n01514668_15144.JPEG,0,Nature,train
Nature\n01592084_2879.JPEG,0,Nature,train
Nature\n01824575_1653.JPEG,0,Nature,train
BigGAN\478_biggan_00074.jpg,1,BigGAN,train
Nature\n02037110_8397.JPEG,0,Nature,train
stable_diffusion_v_1_5\096_sdv5_00159.jpg,1,stable_diffusion_v_1_5,train
Nature\n01847000_3567.JPEG,0,Nature,train
Nature\n01560419_3575.JPEG,0,Nature,train
stable_diffusion_v_1_5\016_sdv5_00121.jpg,1,stable_diffusion_v_1_5,train
ADM\733_adm_184.jpg,1,ADM,train
Nature\n01677366_18804.JPEG,0,Nature,train
stable_diffusion_v_1_5\336_sdv5_00130.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\617_sdv5_00060.jpg,1,stable_diffusion_v_1_5,train
Nature\ILSVRC2012_val_00030695.JPEG,0,Nature,train
stable_diffusion_v_1_5\191_sdv5_00113.jpg,1,stable_diffusion_v_1_5,train
Nature\n01614925_1659.JPEG,0,Nature,train
stable_diffusion_v_1_5\754_sdv5_00022.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\677_sdv5_00078.jpg,1,stable_diffusion_v_1_5,train
BigGAN\094_biggan_00083.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00000337.JPEG,0,Nature,train
stable_diffusion_v_1_5\648_sdv5_00172.jpg,1,stable_diffusion_v_1_5,train
Nature\n01622779_3591.JPEG,0,Nature,train
BigGAN\212_biggan_00143.jpg,1,BigGAN,train
BigGAN\297_biggan_00127.jpg,1,BigGAN,train
BigGAN\017_biggan_00069.jpg,1,BigGAN,train
stable_diffusion_v_1_5\291_sdv5_00118.jpg,1,stable_diffusion_v_1_5,train
Nature\n01770081_9517.JPEG,0,Nature,train
BigGAN\919_biggan_00137.jpg,1,BigGAN,train
stable_diffusion_v_1_5\094_sdv5_00198.jpg,1,stable_diffusion_v_1_5,train
BigGAN\552_biggan_00130.jpg,1,BigGAN,train
ADM\481_adm_110.jpg,1,ADM,train
stable_diffusion_v_1_5\491_sdv5_00002.jpg,1,stable_diffusion_v_1_5,train
Nature\n01943899_23813.JPEG,0,Nature,train
BigGAN\113_biggan_00002.jpg,1,BigGAN,train
BigGAN\684_biggan_00105.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00028460.JPEG,0,Nature,train
Nature\n01955084_8784.JPEG,0,Nature,train
ADM\636_adm_50.jpg,1,ADM,train
BigGAN\902_biggan_00074.jpg,1,BigGAN,train
Nature\n02007558_981.JPEG,0,Nature,train
BigGAN\479_biggan_00150.jpg,1,BigGAN,train
Nature\n01582220_1140.JPEG,0,Nature,train
Nature\n01734418_3791.JPEG,0,Nature,train
Nature\n01531178_5882.JPEG,0,Nature,train
Nature\n01985128_18886.JPEG,0,Nature,train
stable_diffusion_v_1_5\999_sdv5_00173.jpg,1,stable_diffusion_v_1_5,train
BigGAN\282_biggan_00039.jpg,1,BigGAN,train
BigGAN\529_biggan_00144.jpg,1,BigGAN,train
ADM\565_adm_34.jpg,1,ADM,train
BigGAN\311_biggan_00074.jpg,1,BigGAN,train
ADM\726_adm_6.jpg,1,ADM,train
BigGAN\178_biggan_00127.jpg,1,BigGAN,train
Nature\n01776313_7305.JPEG,0,Nature,train
Nature\n01582220_5757.JPEG,0,Nature,train
ADM\224_adm_105.jpg,1,ADM,train
stable_diffusion_v_1_5\864_sdv5_00046.jpg,1,stable_diffusion_v_1_5,train
BigGAN\759_biggan_00002.jpg,1,BigGAN,train
Nature\n01860187_788.JPEG,0,Nature,train
BigGAN\669_biggan_00032.jpg,1,BigGAN,train
ADM\864_adm_178.jpg,1,ADM,train
Nature\ILSVRC2012_val_00004859.JPEG,0,Nature,train
stable_diffusion_v_1_5\362_sdv5_00183.jpg,1,stable_diffusion_v_1_5,train
stable_diffusion_v_1_5\973_sdv5_00185.jpg,1,stable_diffusion_v_1_5,train
BigGAN\250_biggan_00054.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00015264.JPEG,0,Nature,train
BigGAN\886_biggan_00059.jpg,1,BigGAN,train
BigGAN\597_biggan_00044.jpg,1,BigGAN,train
stable_diffusion_v_1_5\414_sdv5_00036.jpg,1,stable_diffusion_v_1_5,train
BigGAN\402_biggan_00143.jpg,1,BigGAN,train
ADM\44_adm_85.jpg,1,ADM,train
stable_diffusion_v_1_5\130_sdv5_00023.jpg,1,stable_diffusion_v_1_5,train
Nature\n03325584_26166.JPEG,0,Nature,train
BigGAN\861_biggan_00143.jpg,1,BigGAN,train
ADM\772_adm_93.jpg,1,ADM,train
stable_diffusion_v_1_5\285_sdv5_00118.jpg,1,stable_diffusion_v_1_5,train
ADM\767_adm_181.jpg,1,ADM,train
Nature\n02264363_3615.JPEG,0,Nature,train
ADM\728_adm_174.jpg,1,ADM,train
Nature\n02018207_3567.JPEG,0,Nature,train
Nature\n01855672_11276.JPEG,0,Nature,train
ADM\537_adm_154.jpg,1,ADM,train
BigGAN\351_biggan_00035.jpg,1,BigGAN,train
ADM\910_adm_70.jpg,1,ADM,train
stable_diffusion_v_1_5\371_sdv5_00003.jpg,1,stable_diffusion_v_1_5,train
Nature\n01833805_9953.JPEG,0,Nature,train
ADM\197_adm_140.jpg,1,ADM,train
ADM\460_adm_16.jpg,1,ADM,train
BigGAN\697_biggan_00066.jpg,1,BigGAN,train
BigGAN\001_biggan_00033.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00023295.JPEG,0,Nature,train
stable_diffusion_v_1_5\112_sdv5_00120.jpg,1,stable_diffusion_v_1_5,train
BigGAN\227_biggan_00127.jpg,1,BigGAN,train
ADM\172_adm_63.jpg,1,ADM,train
Nature\ILSVRC2012_val_00026634.JPEG,0,Nature,train
BigGAN\762_biggan_00047.jpg,1,BigGAN,train
BigGAN\731_biggan_00127.jpg,1,BigGAN,train
BigGAN\706_biggan_00190.jpg,1,BigGAN,train
BigGAN\450_biggan_00044.jpg,1,BigGAN,train
BigGAN\392_biggan_00093.jpg,1,BigGAN,train
Nature\ILSVRC2012_val_00008776.JPEG,0,Nature,train
ADM\936_adm_82.jpg,1,ADM,train
ADM\978_adm_173.jpg,1,ADM,train
Nature\n01773797_5173.JPEG,0,Nature,train
Nature\n02028035_2645.JPEG,0,Nature,train
BigGAN\751_biggan_00118.jpg,1,BigGAN,train
stable_diffusion_v_1_5\216_sdv5_00135.jpg,1,stable_diffusion_v_1_5,train
BigGAN\827_biggan_00024.jpg,1,BigGAN,train
Nature\n01774750_13668.JPEG,0,Nature,train
ADM\626_adm_85.jpg,1,ADM,train
ADM\874_adm_145.jpg,1,ADM,train
stable_diffusion_v_1_5\141_sdv5_00030.jpg,1,stable_diffusion_v_1_5,train
Nature\n01592084_4040.JPEG,0,Nature,train
Nature\n01775062_381.JPEG,0,Nature,train
ADM\136_adm_89.jpg,1,ADM,train
Nature\ILSVRC2012_val_00020430.JPEG,0,Nature,train
stable_diffusion_v_1_5\255_sdv5_00034.jpg,1,stable_diffusion_v_1_5,train
BigGAN\840_biggan_00161.jpg,1,BigGAN,train
ADM\50_adm_156.jpg,1,ADM,train
ADM\944_adm_156.jpg,1,ADM,train
ADM\964_adm_91.jpg,1,ADM,train
ADM\448_adm_84.jpg,1,ADM,train
ADM\486_adm_105.jpg,1,ADM,train
ADM\347_adm_125.jpg,1,ADM,train
Nature\n01514668_13414.JPEG,0,Nature,train
ADM\893_adm_93.jpg,1,ADM,train
BigGAN\316_biggan_00089.jpg,1,BigGAN,train
Nature\n01592084_3026.JPEG,0,Nature,train
Nature\ILSVRC2012_val_00017041.JPEG,0,Nature,train
BigGAN\208_biggan_00039.jpg,1,BigGAN,train
BigGAN\785_biggan_00198.jpg,1,BigGAN,train
stable_diffusion_v_1_5\250_sdv5_00145.jpg,1,stable_diffusion_v_1_5,train
ADM\825_adm_159.jpg,1,ADM,train
BigGAN\234_biggan_00176.jpg,1,BigGAN,train
ADM\812_adm_15.jpg,1,ADM,train
Nature\ILSVRC2012_val_00006711.JPEG,0,Nature,train
stable_diffusion_v_1_5\415_sdv5_00044.jpg,1,stable_diffusion_v_1_5,train
Nature\n01773157_7841.JPEG,0,Nature,train
stable_diffusion_v_1_5\599_sdv5_00096.jpg,1,stable_diffusion_v_1_5,train
ADM\299_adm_172.jpg,1,ADM,train
Nature\n01667778_5044.JPEG,0,Nature,train
BigGAN\096_biggan_00006.jpg,1,BigGAN,train
ADM\524_adm_143.jpg,1,ADM,train
Nature\n02037110_4496.JPEG,0,Nature,train
ADM\854_adm_117.jpg,1,ADM,train
ADM\44_adm_66.jpg,1,ADM,train
stable_diffusion_v_1_5\581_sdv5_00175.jpg,1,stable_diffusion_v_1_5,train
BigGAN\627_biggan_00072.jpg,1,BigGAN,train
stable_diffusion_v_1_5\662_sdv5_00183.jpg,1,stable_diffusion_v_1_5,train
BigGAN\622_biggan_00035.jpg,1,BigGAN,train
Nature\n01773549_4608.JPEG,0,Nature,train
Nature\n02992529_11090.JPEG,0,Nature,train
BigGAN\634_biggan_00052.jpg,1,BigGAN,train
BigGAN\003_biggan_00058.jpg,1,BigGAN,train
stable_diffusion_v_1_5\869_sdv5_00077.jpg,1,stable_diffusion_v_1_5,train
BigGAN\658_biggan_00020.jpg,1,BigGAN,train
Nature\n01795545_5867.JPEG,0,Nature,train
Nature\n02006656_46.JPEG,0,Nature,train
stable_diffusion_v_1_5\062_sdv5_00073.jpg,1,stable_diffusion_v_1_5,train
Nature\n01749939_3771.JPEG,0,Nature,train
Nature\n01944390_17891.JPEG,0,Nature,train
BigGAN\692_biggan_00137.jpg,1,BigGAN,train
stable_diffusion_v_1_5\548_sdv5_00152.jpg,1,stable_diffusion_v_1_5,train
Nature\n01944390_15494.JPEG,0,Nature,train
Nature\n01775062_5009.JPEG,0,Nature,train
BigGAN\534_biggan_00154.jpg,1,BigGAN,train
BigGAN\490_biggan_00178.jpg,1,BigGAN,train
ADM\347_adm_91.jpg,1,ADM,train
stable_diffusion_v_1_5\299_sdv5_00009.jpg,1,stable_diffusion_v_1_5,train
BigGAN\913_biggan_00094.jpg,1,BigGAN,train
Nature\n01608432_6546.JPEG,0,Nature,train
Nature\n01614925_7608.JPEG,0,Nature,train
